customer_id,age,state,education_level,employment_status,years_employed,housing_status,annual_income,monthly_debt_payment,monthly_obligations_ratio,total_debt,mortgage_balance,auto_loan_balance,student_loan_balance,debt_to_income_ratio,savings_balance,checking_balance,investment_accounts,credit_score,credit_history_years,num_credit_accounts,num_credit_cards,credit_limit_total,credit_utilization_pct,on_time_payment_pct,late_payments_30_days,late_payments_60_days,late_payments_90_days,num_inquiries_6mo,num_inquiries_12mo,num_new_accounts_12mo,bankruptcies,foreclosures,collections,tax_liens,public_records,existing_loans,loan_purpose,requested_loan_amount,loan_term_months,creditworthy
CUST000001,58,GA,High School,Part-Time,17,Own,21695.77,447.46,0.2475,44746.0,0,0.0,0,0.2475,4024.38,1049.17,73548.17,673,12,2,4,26647.35,5.05,85.63,1,0,0,6,6,3,0,0,0,0,0,0,Medical,108441.57,84,1
CUST000002,53,CT,Associate,Self-Employed,4,Rent,83483.23,1490.44,0.2142,103807.01,0,30157.88,0,0.2142,77181.95,11268.06,309018.58,660,17,1,5,66901.47,26.16,87.98,1,0,0,1,3,0,1,0,0,0,1,1,Debt Consolidation,86398.19,48,1
CUST000003,20,FL,Master,Employed,2,Own,137032.04,1736.18,0.152,173617.89,0,0.0,40762.1,0.152,163311.61,32068.92,137807.16,725,0,6,1,238705.03,24.86,94.39,0,0,0,0,0,4,0,0,1,0,0,3,Home Purchase,211657.82,120,1
CUST000004,36,AL,Bachelor,Employed,16,Rent,71232.84,48.56,0.0082,4855.84,0,0.0,19156.18,0.0082,109105.12,4572.84,135422.85,724,17,3,4,164389.81,49.6,98.98,0,0,0,2,6,4,0,0,0,0,0,4,Medical,366221.89,24,1
CUST000005,31,SC,PhD,Part-Time,10,Own,45238.52,112.41,0.0298,11240.68,0,0.0,5392.03,0.0298,84642.56,12916.57,85531.75,688,9,11,2,57173.35,38.63,80.28,2,0,0,6,9,1,0,0,0,0,0,5,Business,243221.84,36,1
CUST000006,44,MN,Bachelor,Part-Time,1,Rent,36982.07,65.48,0.0212,6548.01,0,0.0,77519.7,0.0212,12177.24,39.86,57754.42,641,7,7,5,38700.47,16.14,90.86,0,0,0,6,9,2,1,0,0,0,1,0,Auto,243334.92,120,0
CUST000007,64,SC,PhD,Self-Employed,13,Mortgage,106265.25,687.37,0.0776,25485.03,86504.74,0.0,0,0.0776,111107.27,49663.4,86822.62,805,33,1,4,203882.82,18.02,81.46,2,0,0,1,3,3,0,0,0,0,0,4,Education,310071.37,360,1
CUST000008,66,WI,PhD,Employed,4,Rent,162901.38,4182.21,0.3081,380785.43,0,24957.1,0,0.3081,88731.8,49263.81,0.0,739,18,9,1,230170.91,24.36,81.47,2,1,0,5,7,4,0,0,0,0,0,1,Debt Consolidation,444966.64,240,1
CUST000009,75,CO,PhD,Employed,0,Mortgage,107866.04,2787.94,0.3102,219915.5,117756.58,0.0,0,0.3102,22175.88,42074.02,0.0,803,40,6,6,63404.01,24.36,93.2,0,0,0,4,5,1,0,1,0,0,1,5,Debt Consolidation,179546.81,48,1
CUST000010,74,IA,Bachelor,Employed,15,Mortgage,105271.61,3508.91,0.4,243189.65,215401.73,0.0,0,0.4,24284.42,51077.82,75192.49,699,19,5,1,213935.48,6.71,96.05,0,0,0,2,2,0,1,0,0,0,1,0,Business,490593.69,84,1
CUST000011,40,WI,Master,Employed,18,Rent,82432.62,1797.89,0.2617,179789.17,0,0.0,57580.34,0.2617,31627.76,27405.94,125015.75,757,21,4,2,32779.36,17.64,82.33,1,0,0,1,5,4,0,0,0,0,0,1,Personal,201797.79,240,1
CUST000012,36,WI,Associate,Part-Time,14,Rent,23495.83,1180.05,0.6027,67303.39,0,33801.22,0,0.6027,21400.76,10410.26,54103.46,645,9,11,1,33471.76,38.23,79.01,2,1,0,3,6,3,0,0,0,0,0,0,Education,24060.65,360,1
CUST000013,59,OK,Bachelor,Unemployed,0,Rent,869.75,166.11,1,16611.38,0,0.0,0,2.2919,1453.79,104.04,1530.32,663,29,7,1,597.48,3.96,69.7,2,1,0,1,3,2,0,0,0,0,0,4,Debt Consolidation,124372.63,60,1
CUST000014,32,OH,Bachelor,Employed,8,Own,78587.57,2072.48,0.3165,207248.23,0,0.0,43057.65,0.3165,52831.21,26686.06,0.0,708,9,8,3,34341.55,74.76,86.37,0,0,0,3,4,4,0,0,0,0,0,3,Education,137194.72,12,1
CUST000015,43,FL,Bachelor,Self-Employed,14,Rent,64209.62,1056.94,0.1975,105693.78,0,0.0,79992.63,0.1975,25601.75,654.3,0.0,755,8,3,0,56012.87,24.84,94.54,0,0,0,5,5,4,0,0,0,0,0,1,Medical,326225.57,12,1
CUST000016,41,AL,High School,Self-Employed,5,Rent,79800.97,1487.98,0.2238,148797.56,0,0.0,0,0.2238,101440.62,33065.82,0.0,720,9,5,0,125535.42,42.02,96.71,0,0,0,5,9,2,0,0,0,0,0,2,Home Purchase,411343.13,120,1
CUST000017,52,OR,Master,Employed,15,Rent,92514.11,686.84,0.0891,68684.28,0,0.0,0,0.0891,44657.68,18800.17,0.0,714,1,2,2,207193.55,15.2,88.87,1,0,0,3,6,3,0,0,0,0,0,0,Business,278339.72,48,1
CUST000018,62,VA,Associate,Self-Employed,27,Mortgage,79471.65,3291.58,0.497,205443.46,167834.85,26531.41,0,0.497,84897.19,10899.99,309715.3,612,12,12,4,81676.26,48.61,84.94,0,0,0,5,6,3,0,1,0,0,1,5,Personal,181079.65,12,1
CUST000019,18,MA,Bachelor,Employed,0,Mortgage,107040.38,2643.7,0.2964,44376.85,358132.94,27284.29,18054.97,0.2964,12894.15,51385.2,42488.0,743,0,8,0,225711.17,20.99,95.85,0,0,0,5,6,2,0,0,0,0,0,4,Personal,495025.6,360,1
CUST000020,22,SC,High School,Employed,1,Mortgage,40600.89,1613.92,0.477,117466.86,87849.84,0.0,0,0.477,40639.23,10024.26,0.0,695,1,5,5,37433.23,11.44,87.35,0,0,0,3,5,4,0,0,0,0,0,2,Personal,234880.29,120,1
CUST000021,23,OK,Associate,Self-Employed,5,Mortgage,115747.93,3000.37,0.3111,190409.56,219255.76,0.0,0,0.3111,105290.31,18202.35,149673.09,730,1,5,4,44969.19,38.44,99.93,0,0,0,3,7,0,0,0,0,0,0,0,Medical,472651.58,240,1
CUST000022,30,TN,Bachelor,Self-Employed,3,Rent,140622.84,2711.12,0.2314,271111.91,0,0.0,17976.05,0.2314,198393.97,29213.72,271401.84,757,10,5,4,82718.45,19.49,91.4,0,0,0,3,7,1,0,0,0,0,0,4,Debt Consolidation,77831.59,60,1
CUST000023,56,OK,Bachelor,Unemployed,0,Own,6305.03,340.67,0.6484,10771.61,0,15530.58,0,0.6484,700.69,2444.92,1100.79,651,37,7,2,14850.53,35.7,66.46,3,0,0,5,8,3,0,0,0,0,0,3,Auto,490406.54,360,0
CUST000024,27,IN,Bachelor,Employed,1,Rent,74731.73,2274.66,0.3653,169971.96,0,38329.44,68747.37,0.3653,92287.63,8772.39,0.0,722,2,8,0,108891.04,29.01,79.65,1,0,0,1,1,3,0,0,0,0,0,0,Medical,379941.5,240,0
CUST000025,66,MA,Bachelor,Unemployed,0,Own,2443.64,603.61,1,1579.37,0,39187.78,0,2.9642,28.19,983.12,8808.93,717,26,1,0,2476.93,7.92,65.94,1,0,0,1,1,3,0,0,0,0,0,5,Education,319314.41,60,1
CUST000026,45,MI,Bachelor,Employed,15,Own,77419.36,2102.01,0.3258,210200.8,0,0.0,0,0.3258,15044.74,24288.7,12208.28,726,0,2,1,88180.76,14.43,90.45,0,0,0,0,4,2,0,0,0,0,0,5,Debt Consolidation,383967.92,36,1
